date,time,type,title,description,platform,caption,asset_ref,cta,track_ref,release_ref,campaign_ref
2026-03-14,12:01 PM,post,Neon Pulse Out Now - YouTube,,youtube,"Neon Pulse (Official Audio) - Luna Vega | Midnight Frequencies",neon_pulse_visualizer.mp4,Subscribe for more,Neon Pulse,Midnight Frequencies,Midnight Frequencies Launch
2026-03-17,3:00 PM,story,Fan Reactions Roundup,,instagram,"Sharing your reactions to Neon Pulse 💜 Keep them coming!",fan_reactions_collage.jpg,Share your reaction,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-19,10:00 AM,reel,Lyric Video Teaser,,instagram,"Lyrics that hit different at 2AM 🌙 Full album 3/29",lyric_card_chrome_hearts.mp4,,Chrome Hearts,Midnight Frequencies,Midnight Frequencies Launch
2026-03-22,11:00 AM,post,One Week Countdown,,instagram,"7 days until Midnight Frequencies 🌙⏰ The countdown is ON",countdown_graphic.jpg,Pre-save if you haven't,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-25,2:00 PM,post,Tracklist Reveal,,instagram,"The full tracklist for Midnight Frequencies 🎵 Which title are you most curious about?",tracklist_graphic.jpg,Comment your pick,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-27,10:00 AM,ad,Release Week Ad Campaign,"Paid promotion across Instagram and TikTok targeting indie electronic fans",instagram,"Midnight Frequencies by Luna Vega - Out March 29th",ad_creative_01.mp4,Pre-save Now,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-28,8:00 PM,post,Tomorrow - Final Countdown,,instagram,"Tomorrow. Midnight. Frequencies. 🌙 Set your alarms ⏰",final_countdown.jpg,Midnight tonight,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-29,,milestone,RELEASE DAY,"Album 'Midnight Frequencies' available on all platforms",,,,,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-29,12:00 AM,post,Album Out Now,,instagram,"Midnight Frequencies is HERE 🌙✨ 10 tracks of pure emotion. Stream now - link in bio 💜",album_artwork_final.jpg,Stream Midnight Frequencies,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-29,12:00 AM,post,Album Out Now - TikTok,,tiktok,"IT'S HERE 🌙 Midnight Frequencies out now! Which track is your fav? #MidnightFrequencies",release_day_reel.mp4,Link in bio,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-29,12:00 AM,post,Album Out Now - YouTube,,youtube,"Midnight Frequencies (Full Album) - Luna Vega | Official Audio",full_album_visualizer.mp4,Subscribe & share,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-29,10:00 AM,email,Release Day Email,"Album release announcement to full subscriber list",email,"Midnight Frequencies is out now! Stream it everywhere",email_release_day.jpg,Listen Now,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-31,12:00 PM,post,Thank You + First Week Stats,,instagram,"First 48 hours of Midnight Frequencies 🌙 Thank you for every stream and share 💜",thankyou_graphic.jpg,Keep streaming,,Midnight Frequencies,Midnight Frequencies Launch
2026-04-05,2:00 PM,deadline,UGC Challenge Launch,"Launch fan content challenge: #MyMidnightMoment",,,,,,Midnight Frequencies,Midnight Frequencies Launch
2026-04-12,11:00 AM,post,Fan Favorites So Far,,instagram,"Your top 3 tracks from Midnight Frequencies so far 📊 Did your fav make the list?",poll_results_graphic.jpg,Vote in stories,,Midnight Frequencies,Midnight Frequencies Launch
2026-04-19,10:00 AM,reminder,Pitch to Playlist Curators,"Submit tracks to indie electronic playlists on Spotify and Apple Music",,,,,,Midnight Frequencies,Midnight Frequencies Launch
2026-04-26,3:00 PM,post,One Month Anniversary,,instagram,"One month of Midnight Frequencies 🌙 The journey is just beginning. Acoustic versions coming soon 👀",anniversary_graphic.jpg,Stream the album,,Midnight Frequencies,Midnight Frequencies Launch
